"Player_name","Year","Level","T","G","W","L","IP","TBF","Kpct","BBpct","K_BB","HR_9","FIP","ERA","DER"
"井川　慶",2012,"Top","Bs","12","2","7",62,278,12.9,11.15,1.8,0.73,4.1,4.65,0.714
"海田　智行",2012,"Top","Bs","31","0","4",56.3,245,12.2,8.16,4.1,0.32,3.131,3.04,0.684
"香月　良太",2012,"Top","Bs","52","1","2",40,176,11.9,8.52,3.4,0.45,3.416,5.18,0.708
"金子　千尋",2012,"Top","Bs","9","4","3",63.7,265,21.1,5.66,15.5,0.28,2.019,2.4,0.672
"鴨志田　貴司",2012,"Top","Bs","2","0","0",2.3,8,12.5,25,-12.5,0,4.33,0,1
"木佐貫　洋",2012,"Top","Bs","24","5","9",152.3,628,15.3,6.69,8.6,0.47,2.905,2.6,0.73
"岸田　護",2012,"Top","Bs","52","4","2",52,214,22.9,6.07,16.8,0.87,2.501,2.42,0.692
"桑原　謙太朗",2012,"Top","Bs","2","0","0",2,8,12.5,12.5,0,0,4.616,0,1
"小松　聖",2012,"Top","Bs","21","3","5",64.3,288,15.6,6.6,9,0.98,3.797,4.9,0.694
"近藤　一樹",2012,"Top","Bs","1","0","1",6,27,11.1,3.7,7.4,0,2.116,4.5,0.652
"佐藤　達也",2012,"Top","Bs","14","0","1",21,91,25.3,9.89,15.4,0,1.711,3.43,0.712
"高橋　秀聡",2012,"Top","Bs","5","0","0",3.7,17,11.8,11.76,0,0,3.161,7.36,0.615
"高宮　和也",2012,"Top","Bs","1","0","0",1,4,0,0,0,9,15.616,9,0.667
"塚原　頌平",2012,"Top","Bs","16","1","1",35,143,17.5,9.09,8.4,0.77,3.416,3.6,0.765
"寺原　隼人",2012,"Top","Bs","16","6","8",101,441,13.8,7.03,6.8,0.62,3.319,3.92,0.687
"中山　慎也",2012,"Top","Bs","53","1","7",106.7,447,20.8,6.71,14.1,0.34,2.288,2.87,0.684
"西　勇輝",2012,"Top","Bs","19","8","3",123,503,17.3,6.56,10.7,0.22,2.445,2.78,0.729
"西川　雅人",2012,"Top","Bs","2","0","0",1.3,11,0,9.09,-9.1,0,7.116,20.25,0.6
"比嘉　幹貴",2012,"Top","Bs","12","1","0",10,34,14.7,0,14.7,0,1.616,1.8,0.724
"平野　佳寿",2012,"Top","Bs","70","7","4",79.7,307,26.1,1.63,24.4,0.45,1.486,2.15,0.719
"フィガロ",2012,"Top","Bs","11","0","5",64,268,13.8,7.09,6.7,0.7,3.507,3.09,0.729
"古川　秀一",2012,"Top","Bs","10","0","0",14,72,22.2,5.56,16.7,0.64,2.33,10.93,0.49
"マエストリ",2012,"Top","Bs","8","4","3",49.7,204,19.6,5.88,13.7,0,1.972,2.17,0.704
"マクレーン",2012,"Top","Bs","18","5","4",69,303,9.2,8.58,0.7,0.52,3.862,3.91,0.714
"前田　祐二",2012,"Top","Bs","5","3","2",27.7,122,15.6,9.84,5.7,0,2.652,1.3,0.692
"ミンチェ",2012,"Top","Bs","37","0","3",32.3,148,9.5,10.81,-1.4,0.56,3.946,5.29,0.684
"山田　修義",2012,"Top","Bs","6","0","2",17.3,78,9,11.54,-2.6,1.56,5.789,5.71,0.729
"吉野　誠",2012,"Top","Bs","40","2","1",20.7,87,13.8,8.05,5.7,0.87,3.729,3.05,0.738
"今井　啓介",2012,"Top","C","24","4","8",96,405,17.3,8.4,8.9,0.75,3.335,2.81,0.734
"今村　猛",2012,"Top","C","69","2","2",85.7,344,25.9,5.23,20.6,0.42,1.845,1.89,0.701
"梅津　智弘",2012,"Top","C","9","0","0",6.7,38,13.2,10.53,2.6,0,4.266,4.05,0.621
"江草　仁貴",2012,"Top","C","26","0","0",20.3,86,17.4,10.47,7,0.89,3.747,4.43,0.75
"大島　崇行",2012,"Top","C","1","0","0",0.3,2,0,50,-50,0,11.616,0,1
"大竹　寛",2012,"Top","C","24","11","5",144.7,618,13.8,6.96,6.8,0.37,2.955,2.36,0.714
"河内　貴哉",2012,"Top","C","28","1","0",17.3,73,17.8,10.96,6.8,1.04,4.001,2.08,0.8
"菊地原　毅",2012,"Top","C","14","0","1",7.7,37,8.1,10.81,-2.7,0,3.79,4.7,0.767
"岸本　秀樹",2012,"Top","C","27","0","2",24,114,23.7,14.91,8.8,0.38,2.783,6.75,0.657
"サファテ",2012,"Top","C","47","2","5",49.7,221,19.9,10.86,9,0.18,2.918,2.9,0.724
"齊藤　悠葵",2012,"Top","C","6","2","3",27.7,123,10.6,13.01,-2.4,0.65,4.459,5.2,0.761
"篠田　純平",2012,"Top","C","7","1","3",27.7,127,9.4,8.66,0.8,1.3,4.821,4.88,0.646
"戸田　隆矢",2012,"Top","C","1","0","1",3,15,0,13.33,-13.3,0,4.616,6,0.692
"中崎　翔太",2012,"Top","C","12","0","1",21,84,16.7,9.52,7.1,0.43,3.187,2.57,0.77
"中田　廉",2012,"Top","C","27","1","0",34.7,151,17.2,7.95,9.3,0.78,3.366,3.89,0.682
"中村　恭平",2012,"Top","C","8","0","0",13,56,10.7,14.29,-3.6,0,3.77,4.85,0.762
"野村　祐輔",2012,"Top","C","27","9","11",172.7,704,14.6,7.39,7.2,0.31,2.813,1.98,0.748
"バリントン",2012,"Top","C","29","7","14",175.7,733,18.7,6,12.7,0.41,2.417,3.23,0.707
"福井　優也",2012,"Top","C","17","2","3",58.7,264,20.1,14.02,6.1,0.92,4.082,4.3,0.726
"前田　健太",2012,"Top","C","29","14","7",206.3,820,20.9,5.37,15.5,0.26,2.092,1.53,0.741
"ミコライオ",2012,"Top","C","61","3","5",58,227,23.8,6.17,17.6,0.62,2.53,2.79,0.755
"横山　竜士",2012,"Top","C","23","2","0",21.7,86,17.4,10.47,7,0,2.616,0.42,0.817
"浅尾　拓也",2012,"Top","D","29","1","0",30,120,24.2,7.5,16.7,0,1.583,1.5,0.744
"朝倉　健太",2012,"Top","D","16","0","0",21.3,93,14,6.45,7.5,1.27,4.21,7.59,0.676
"伊藤　準規",2012,"Top","D","2","1","0",9.7,35,8.6,14.29,-5.7,0,3.547,0.93,0.889
"岩瀬　仁紀",2012,"Top","D","54","1","3",51,207,14.5,6.28,8.2,0.53,2.91,2.29,0.741
"岩田　慎司",2012,"Top","D","20","5","5",108.3,438,19.2,5.94,13.2,0.91,3.299,2.74,0.76
"大野　雄大",2012,"Top","D","9","4","3",44.7,188,21.8,7.45,14.4,0.2,2.146,2.62,0.702
"小笠原　孝",2012,"Top","D","7","0","2",18.7,85,16.5,4.71,11.8,0.48,2.777,5.3,0.652
"小川　龍也",2012,"Top","D","1","0","1",4,17,17.6,5.88,11.8,2.25,5.116,4.5,0.75
"小熊　凌祐",2012,"Top","D","1","0","0",2,12,8.3,33.33,-25,0,7.616,13.5,0.714
"川上　憲伸",2012,"Top","D","7","3","1",28.7,121,14,8.26,5.8,0.94,4.046,2.83,0.758
"小林正",2012,"Top","D","41","2","0",20.7,89,19.1,5.62,13.5,0.44,2.616,1.31,0.769
"鈴木　義広",2012,"Top","D","9","0","0",8,37,10.8,13.51,-2.7,0,3.116,5.63,0.704
"ソーサ",2012,"Top","D","53","5","1",63.3,260,19.2,7.31,11.9,0.14,2,1.85,0.715
"ソト",2012,"Top","D","18","4","1",62.3,246,19.5,8.54,11,0.43,2.712,2.17,0.757
"高橋　聡文",2012,"Top","D","11","0","0",11,49,14.3,12.24,2,1.64,5.889,6.55,0.735
"田島　慎二",2012,"Top","D","56","5","3",70.7,274,20.4,6.2,14.2,0.13,2.064,1.15,0.755
"中田　賢一",2012,"Top","D","22","7","10",140,562,18.9,5.87,13,0.39,2.516,2.83,0.728
"西川　健太郎",2012,"Top","D","3","0","0",7,24,16.7,8.33,8.3,1.29,4.187,1.29,1
"ネルソン",2012,"Top","D","6","0","1",11.3,54,14.8,12.96,1.9,0.79,4.204,7.15,0.658
"久本　祐一",2012,"Top","D","5","0","0",8,38,15.8,13.16,2.6,1.12,4.616,4.5,0.72
"平井　正史",2012,"Top","D","2","0","1",2.3,14,21.4,7.14,14.3,0,2.616,11.57,0.5
"三瀬　幸司",2012,"Top","D","2","0","0",3,12,41.7,0,41.7,0,-0.717,0,0.571
"武藤　祐太",2012,"Top","D","33","4","0",41.7,167,18.6,5.99,12.6,0.22,2.088,3.02,0.74
"矢地　健人",2012,"Top","D","5","0","0",8.3,33,21.2,6.06,15.2,1.08,3.216,2.16,0.826
"山井　大介",2012,"Top","D","56","4","3",101,385,20.8,5.97,14.8,0.27,2.131,1.43,0.755
"山内　壮馬",2012,"Top","D","24","10","7",148,589,11.5,5.43,6.1,0.49,3.109,2.43,0.75
"山本昌",2012,"Top","D","13","3","2",67.3,264,15.2,7.2,8,0.53,3.047,2.94,0.759
"雄太",2012,"Top","D","14","3","5",54.3,231,11.3,5.19,6.1,0.5,3.094,4.31,0.711
"吉見　一起",2012,"Top","D","19","13","4",138.7,529,14.4,2.46,11.9,0.32,2.27,1.75,0.733
"阿斗里",2012,"Top","DB","2","0","0",2,14,14.3,35.71,-21.4,0,8.116,13.5,0.571
"伊藤　拓郎",2012,"Top","DB","2","0","0",2,9,22.2,22.22,0,0,3.616,0,0.8
"牛田　成樹",2012,"Top","DB","5","0","0",7,34,29.4,14.71,14.7,1.29,3.759,6.43,0.5
"江尻　慎太郎",2012,"Top","DB","2","0","0",4,20,15,15,0,4.5,9.866,13.5,0.583
"大原　慎司",2012,"Top","DB","33","1","0",35,143,14,10.49,3.5,0.51,3.244,1.8,0.718
"加賀　繁",2012,"Top","DB","61","0","2",44,175,25.7,6.29,19.4,0.82,2.502,2.86,0.735
"加賀美　希昇",2012,"Top","DB","10","3","3",57.7,250,16,7.6,8.4,0.47,2.945,3.28,0.717
"菊地　和正",2012,"Top","DB","63","3","2",49.3,204,9.3,11.76,-2.5,0.36,3.711,2.37,0.794
"クレイマー",2012,"Top","DB","2","0","1",8.3,48,10.4,12.5,-2.1,2.16,6.696,10.8,0.571
"国吉　佑樹",2012,"Top","DB","19","4","12",112.7,498,19.1,11.85,7.2,0.8,3.654,3.67,0.705
"小杉　陽太",2012,"Top","DB","17","1","0",32.3,139,18.7,6.47,12.2,0.28,2.523,5.01,0.676
"小林　太志",2012,"Top","DB","35","2","3",77,337,13.1,6.82,6.2,0.94,4.07,3.74,0.738
"佐藤　祥万",2012,"Top","DB","6","0","0",7,31,12.9,9.68,3.2,1.29,4.616,6.43,0.652
"ジオ",2012,"Top","DB","8","1","6",39,179,23.5,10.06,13.4,0.46,2.667,3.92,0.624
"篠原　貴行",2012,"Top","DB","50","1","3",22,105,11.4,11.43,0,0.82,4.48,4.91,0.701
"須田　幸太",2012,"Top","DB","2","0","2",9.3,45,15.6,15.56,0,0.96,4.759,8.68,0.633
"高崎　健太郎",2012,"Top","DB","24","7","10",151.7,643,15.1,6.22,8.9,0.53,2.979,3.2,0.706
"田中　健二朗",2012,"Top","DB","15","0","2",34.7,153,17.6,5.23,12.4,0.78,3.049,4.67,0.696
"ハミルトン",2012,"Top","DB","9","0","0",13.3,59,13.6,8.47,5.1,1.35,4.266,7.43,0.674
"林　昌範",2012,"Top","DB","32","0","0",33,132,19.7,9.09,10.6,0.55,2.828,1.91,0.736
"ブランドン",2012,"Top","DB","16","2","8",69.3,301,14,9.63,4.3,0.39,3.352,5.32,0.722
"福田　岳洋",2012,"Top","DB","5","0","0",8.3,41,14.6,12.2,2.4,1.08,4.896,9.72,0.724
"福山　博之",2012,"Top","DB","2","0","0",2,10,0,10,-10,0,5.616,18,0.667
"藤井　秀悟",2012,"Top","DB","16","7","7",84,358,11.2,10.34,0.8,0.75,4.068,3.75,0.722
"藤江　均",2012,"Top","DB","52","3","5",49.7,202,20.8,8.91,11.9,0.72,3.059,3.26,0.757
"三浦　大輔",2012,"Top","DB","25","9","9",182.7,738,14.5,6.5,8,0.74,3.284,2.86,0.743
"山口　俊",2012,"Top","DB","60","1","2",62,258,24,8.53,15.5,0.15,1.939,1.74,0.734
"山本　省吾",2012,"Top","DB","6","1","4",34.3,154,9.7,9.74,0,1.31,4.946,4.46,0.737
"王　溢正",2012,"Top","DB","6","0","4",24.3,124,12.1,15.32,-3.2,1.48,6.232,8.88,0.674
"青山　浩二",2012,"Top","E","61","5","4",64.7,260,20.8,7.31,13.5,0.28,2.415,2.51,0.751
"有銘　兼久",2012,"Top","E","1","0","0",0,1,0,100,-100,NA,Inf,0,NA
"井上　雄介",2012,"Top","E","2","0","0",3.7,17,17.6,0,17.6,0,0.98,4.91,0.571
"上園　啓史",2012,"Top","E","1","0","1",4.7,21,9.5,9.52,0,0,3.687,5.79,0.588
"片山　博視",2012,"Top","E","41","0","2",28.7,134,15.7,8.96,6.7,0.63,3.523,3.77,0.657
"加藤　大輔",2012,"Top","E","35","1","0",53.7,235,15.7,8.94,6.8,0.34,3.007,3.35,0.726
"釜田　佳直",2012,"Top","E","20","7","4",112.3,501,15.4,7.58,7.8,0.32,2.91,3.28,0.681
"辛島　航",2012,"Top","E","16","8","5",103.3,414,19.1,5.31,13.8,0.35,2.374,2.53,0.731
"川井　貴志",2012,"Top","E","8","2","1",28.7,127,7.9,4.72,3.1,1.26,4.779,2.83,0.738
"菊池　保則",2012,"Top","E","4","1","1",25,110,21.8,4.55,17.3,0.72,2.456,2.88,0.646
"小山　伸一郎",2012,"Top","E","57","1","2",49.7,202,20.8,10.4,10.4,0.54,3.099,1.99,0.772
"佐竹　健太",2012,"Top","E","3","0","0",4,23,4.3,8.7,-4.3,6.75,13.366,15.75,0.706
"塩見　貴洋",2012,"Top","E","19","6","10",106.7,450,14.9,7.33,7.6,0.76,3.469,3.71,0.726
"下柳　剛",2012,"Top","E","4","0","2",17,80,5,1.25,3.8,0,2.851,5.29,0.64
"ダックワース",2012,"Top","E","6","3","1",36.3,150,14.7,5.33,9.3,0.99,3.579,3.22,0.759
"高堀　和也",2012,"Top","E","13","3","0",15.7,59,20.3,1.69,18.6,0,1.85,1.15,0.783
"田中　将大",2012,"Top","E","22","10","4",173,696,24.3,2.73,21.6,0.21,1.327,1.87,0.69
"土屋　朋弘",2012,"Top","E","8","1","0",8.7,31,6.5,9.68,-3.2,0,3.193,1.04,0.808
"戸村　健次",2012,"Top","E","9","3","2",38,170,11.2,6.47,4.7,0.24,2.826,3.79,0.64
"永井　怜",2012,"Top","E","5","1","3",27.3,118,18.6,8.47,10.2,0.33,2.799,3.29,0.671
"ハウザー",2012,"Top","E","58","1","2",48.3,192,15.1,7.81,7.3,0.56,3.402,3.17,0.793
"橋本　義隆",2012,"Top","E","8","0","0",9.3,44,13.6,2.27,11.4,0,2.294,4.82,0.622
"ヒメネス",2012,"Top","E","18","5","10",108.7,460,13.7,8.48,5.2,0.5,3.389,3.15,0.726
"美馬　学",2012,"Top","E","23","8","10",154.7,633,17.1,5.69,11.4,0.7,3.023,3.08,0.727
"武藤　好貴",2012,"Top","E","9","0","0",14,59,16.9,13.56,3.4,0,2.902,5.14,0.756
"ラズナー",2012,"Top","E","46","1","3",42,174,18.4,6.9,11.5,0.64,2.878,2.79,0.74
"石井　裕也",2012,"Top","F","18","2","1",17,65,27.7,9.23,18.5,1.06,3.087,1.59,0.846
"糸数　敬作",2012,"Top","F","1","0","0",0.3,3,0,33.33,-33.3,0,11.616,0,0.5
"乾　真大",2012,"Top","F","36","1","2",32.7,140,22.9,11.43,11.4,0.83,3.32,5.51,0.719
"ウルフ",2012,"Top","F","26","10","9",149,628,13.2,6.37,6.8,0.12,2.542,2.66,0.694
"植村　祐介",2012,"Top","F","9","1","0",12,51,23.5,13.73,9.8,0.75,3.699,3.75,0.774
"木田　優夫",2012,"Top","F","1","0","0",1,5,0,20,-20,0,5.616,0,0.5
"ケッペル",2012,"Top","F","2","0","1",6,31,6.5,6.45,0,0,2.949,9,0.556
"斎藤　佑樹",2012,"Top","F","19","5","8",104,480,12.3,10,2.3,0.69,3.895,3.98,0.676
"榊原　諒",2012,"Top","F","17","0","0",21.3,94,19.1,8.51,10.6,0.84,3.272,2.95,0.682
"武田　久",2012,"Top","F","56","4","4",54.3,230,14.8,8.26,6.5,0.33,2.726,2.32,0.686
"武田　勝",2012,"Top","F","28","11","7",182.7,709,12.7,4.23,8.5,0.49,2.884,2.36,0.742
"多田野　数人",2012,"Top","F","18","6","5",90,372,12.9,4.57,8.3,0.9,3.449,3.7,0.721
"谷元　圭介",2012,"Top","F","28","2","2",61.3,257,15.2,6.23,8.9,0.44,2.812,3.52,0.709
"土屋　健二",2012,"Top","F","1","0","1",0,5,0,20,-20,Inf,Inf,NA,0
"中村　勝",2012,"Top","F","8","2","2",45.3,184,15.8,8.7,7.1,0.4,3.035,1.79,0.752
"根本　朋久",2012,"Top","F","7","0","0",12.3,44,13.6,9.09,4.5,0,2.616,0,0.765
"増井　浩俊",2012,"Top","F","73","5","5",71.7,298,23.2,8.39,14.8,0.25,2.016,2.76,0.685
"宮西　尚生",2012,"Top","F","66","2","2",60,244,23,5.74,17.2,0.6,2.466,2.25,0.722
"モルケン",2012,"Top","F","23","2","1",22,91,19.8,8.79,11,0.41,2.525,3.27,0.698
"森内　壽春",2012,"Top","F","56","0","1",60.7,247,15,9.72,5.3,0.89,3.819,4.01,0.76
"八木　智哉",2012,"Top","F","13","6","3",66.7,285,13,5.61,7.4,0.54,3.231,3.38,0.722
"矢貫　俊之",2012,"Top","F","22","1","0",33.3,144,16,10.42,5.6,1.08,4.146,3.24,0.706
"吉川　光夫",2012,"Top","F","25","14","5",173.7,668,23.7,6.74,16.9,0.31,2.075,1.71,0.777
"若竹　竜士",2012,"Top","F","2","0","0",2.3,14,0,21.43,-21.4,3.86,13.33,3.86,0.8
"一岡　竜司",2012,"Top","G","4","0","0",5,21,14.3,0,14.3,0,2.016,3.6,0.722
"内海　哲也",2012,"Top","G","28","15","6",186,757,16,5.28,10.7,0.39,2.648,1.98,0.719
"江柄子　裕樹",2012,"Top","G","7","0","2",14.7,65,21.5,10.77,10.8,1.23,4.116,2.45,0.762
"越智　大祐",2012,"Top","G","5","0","1",4,24,0,16.67,-16.7,4.5,11.366,11.25,0.588
"小野　淳平",2012,"Top","G","9","0","1",11,48,10.4,6.25,4.2,2.45,6.616,5.73,0.811
"笠原　将生",2012,"Top","G","4","1","0",13,64,21.9,7.81,14.1,0.69,2.847,5.54,0.614
"久保　裕也",2012,"Top","G","2","0","0",1,8,12.5,25,-12.5,0,9.616,9,0.6
"ゴンザレス",2012,"Top","G","11","4","1",45,206,12.6,10.68,1.9,0.4,3.638,3.2,0.619
"小山　雄輝",2012,"Top","G","10","2","2",43.3,168,16.7,6.55,10.1,0.21,2.385,1.87,0.781
"真田　裕貴",2012,"Top","G","1","0","0",0,4,0,0,0,NA,NA,NA,0
"澤村　拓一",2012,"Top","G","27","10","10",169.7,716,19.3,7.54,11.7,0.64,2.934,2.86,0.688
"杉内　俊哉",2012,"Top","G","24","12","4",163,634,27.1,6.78,20.3,0.33,1.831,2.04,0.734
"高木　京介",2012,"Top","G","34","2","0",31.3,121,23.1,8.26,14.9,0,1.882,0.57,0.807
"高木　康成",2012,"Top","G","40","3","1",43.7,169,14.8,4.73,10.1,0,1.952,1.44,0.748
"田原　誠次",2012,"Top","G","32","2","0",30.3,130,17.7,6.15,11.5,0.89,3.572,3.26,0.719
"東野　峻",2012,"Top","G","1","0","0",5,18,11.1,0,11.1,1.8,5.016,3.6,0.867
"西村　健太朗",2012,"Top","G","69","3","2",71.3,276,21,7.97,13,0.38,2.336,1.14,0.798
"野間口　貴彦",2012,"Top","G","3","0","0",3,11,18.2,9.09,9.1,0,2.283,0,0.75
"福田　聡志",2012,"Top","G","50","8","1",61.7,236,21.6,11.02,10.6,0.29,2.648,1.61,0.809
"ホールトン",2012,"Top","G","25","12","8",158,630,21,6.98,14,0.63,2.818,2.45,0.762
"星野　真澄",2012,"Top","G","6","1","0",10.3,41,17.1,2.44,14.6,0.87,3.1,3.48,0.75
"マシソン",2012,"Top","G","40","2","0",42,165,29.1,6.67,22.4,0.21,1.497,1.71,0.724
"宮國　椋丞",2012,"Top","G","17","6","2",97,386,14,7.25,6.7,0.37,2.966,1.86,0.759
"山口　鉄也",2012,"Top","G","72","3","2",75.3,277,24.5,2.53,22,0.12,1.302,0.84,0.769
"ロメロ",2012,"Top","G","1","0","0",1,5,20,20,0,0,3.616,0,0.692
"新垣　渚",2012,"Top","H","15","6","5",78.7,335,16.7,11.34,5.4,0.46,3.455,4.58,0.738
"岩嵜　翔",2012,"Top","H","29","5","10",120.3,498,15.5,5.42,10,0.37,2.624,3.14,0.722
"大隣　憲司",2012,"Top","H","25","12","8",177.3,705,19,6.52,12.5,0.46,2.61,2.03,0.733
"大場　翔太",2012,"Top","H","10","2","5",45.3,186,22,8.6,13.4,0.2,2.417,2.38,0.773
"岡島　秀樹",2012,"Top","H","56","0","2",47.7,181,19.9,3.31,16.6,0.19,1.756,0.94,0.761
"カストロ",2012,"Top","H","3","0","0",3,14,14.3,0,14.3,3,5.616,6,0.636
"甲藤　啓介",2012,"Top","H","6","0","1",6.3,29,10.3,17.24,-6.9,0,4.037,2.84,0.762
"金澤　健人",2012,"Top","H","49","1","0",44.3,184,15.2,7.61,7.6,0.41,2.954,2.44,0.754
"神内　靖",2012,"Top","H","20","0","0",24.7,101,23.8,3.96,19.8,1.09,2.859,5.47,0.729
"嘉弥真　新也",2012,"Top","H","4","0","0",4.3,23,8.7,21.74,-13,0,5.154,12.46,0.625
"川原　弘之",2012,"Top","H","2","0","0",3,10,30,0,30,0,0.616,0,0.857
"金　無英",2012,"Top","H","29","1","1",31.3,132,21.2,5.3,15.9,0.29,1.914,1.72,0.688
"攝津　正",2012,"Top","H","27","17","5",193.3,770,19.9,7.01,12.9,0.37,2.44,1.91,0.748
"千賀　滉大",2012,"Top","H","2","0","1",4.7,29,3.4,27.59,-24.1,0,7.33,9.64,0.65
"武田　翔太",2012,"Top","H","11","8","1",67,262,25.6,9.92,15.6,0.13,2.019,1.07,0.768
"巽　真悟",2012,"Top","H","4","0","1",11.3,62,8.1,11.29,-3.2,1.59,6.41,8.74,0.667
"ドイル",2012,"Top","H","3","1","1",12.7,60,11.7,15,-3.3,0.71,4.905,3.55,0.698
"二保　旭",2012,"Top","H","3","0","0",6,28,10.7,14.29,-3.6,0,4.616,1.5,0.81
"ピント",2012,"Top","H","2","1","1",7.3,39,15.4,17.95,-2.6,1.23,6.025,7.36,0.68
"ファルケンボーグ",2012,"Top","H","23","0","1",23,88,29.5,9.09,20.5,0.39,1.964,1.57,0.755
"藤岡　好明",2012,"Top","H","39","1","0",45.3,175,19.4,5.14,14.3,0,1.712,1.19,0.727
"ペニー",2012,"Top","H","1","0","1",3.3,19,5.3,15.79,-10.5,0,4.716,10.8,0.533
"帆足　和幸",2012,"Top","H","1","0","1",2.7,15,6.7,20,-13.3,0,6.366,13.5,0.545
"森福　允彦",2012,"Top","H","65","2","5",58.3,235,23.4,7.23,16.2,0.15,1.827,1.39,0.755
"柳瀬　明宏",2012,"Top","H","35","0","1",27.7,112,33,6.25,26.8,0.33,1.387,1.63,0.687
"山田　大樹",2012,"Top","H","24","8","10",148.7,623,13.3,9.15,4.2,0.61,3.706,2.78,0.748
"陽　耀勲",2012,"Top","H","9","2","3",42.7,168,26.8,10.71,16.1,0.21,2.358,1.48,0.779
"吉川　輝昭",2012,"Top","H","25","0","1",32.3,142,16.2,12.68,3.5,0.84,4.162,5.29,0.753
"ロメロ",2012,"Top","H","3","0","0",2.7,13,15.4,0,15.4,3.38,5.991,10.13,0.692
"石井　一久",2012,"Top","L","24","10","5",132.3,560,13.2,7.86,5.4,0.95,3.961,3.33,0.738
"ウィリアムス",2012,"Top","L","55","4","3",42.3,185,22.2,12.43,9.7,0,2.663,1.7,0.748
"大石　達也",2012,"Top","L","24","1","1",36,160,15,7.5,7.5,0.5,3.338,2.75,0.697
"岡本　篤志",2012,"Top","L","59","1","3",57,255,15.3,6.67,8.6,0.79,3.44,4.11,0.684
"岡本　洋介",2012,"Top","L","1","0","1",3,18,5.6,5.56,0,0,3.949,15,0.562
"長田　秀一郎",2012,"Top","L","53","2","1",46.3,181,14.4,6.08,8.3,0.97,3.609,2.53,0.832
"菊池　雄星",2012,"Top","L","14","4","3",81.3,339,16.8,7.37,9.4,0.55,2.972,3.1,0.722
"岸　孝之",2012,"Top","L","26","11","12",187.7,729,20.6,5.49,15.1,0.43,2.344,2.45,0.751
"木村　文紀",2012,"Top","L","8","0","0",14,59,10.2,11.86,-1.7,0,3.259,4.5,0.717
"ゴンザレス",2012,"Top","L","16","2","5",23,121,13.2,9.92,3.3,0.78,3.92,7.04,0.619
"小石　博孝",2012,"Top","L","9","1","1",22.3,100,7,15,-8,0.4,4.855,4.03,0.776
"武隈　祥太",2012,"Top","L","14","1","2",31.7,145,11.7,8.28,3.4,0.57,3.784,4.83,0.717
"田中　靖洋",2012,"Top","L","5","0","0",8.3,40,15,15,0,1.08,4.896,6.48,0.667
"十亀　剣",2012,"Top","L","41","6","0",53,223,18.4,7.62,10.8,0.68,3.069,2.72,0.711
"西口　文也",2012,"Top","L","14","5","2",81.7,347,12.7,8.36,4.3,0.44,3.277,3.75,0.73
"野上　亮磨",2012,"Top","L","23","8","5",115.3,496,9.9,7.26,2.6,0.62,3.734,2.97,0.702
"平野　将光",2012,"Top","L","3","0","0",14,61,8.2,3.28,4.9,1.93,5.116,3.21,0.686
"藤田　太陽",2012,"Top","L","3","0","0",3.7,21,14.3,4.76,9.5,4.91,9.707,14.73,0.533
"藤原　良平",2012,"Top","L","1","0","0",2.3,18,0,16.67,-16.7,3.86,12.044,19.29,0.5
"星野　智樹",2012,"Top","L","6","0","0",3.3,19,21.1,10.53,10.5,0,1.116,10.8,0.417
"ＭＩＣＨＥＡＬ",2012,"Top","L","17","0","3",22,96,20.8,7.29,13.5,0.41,2.48,2.86,0.687
"牧田　和久",2012,"Top","L","27","13","9",178,739,14.6,4.87,9.7,0.2,2.453,2.43,0.711
"松永　浩典",2012,"Top","L","56","2","1",40.7,173,17.9,4.05,13.9,0.89,2.96,3.54,0.692
"宮田　和希",2012,"Top","L","3","0","0",2.7,12,33.3,25,8.3,0,4.116,0,1
"山本　淳",2012,"Top","L","4","0","1",9.7,47,6.4,12.77,-6.4,0.93,5.512,6.52,0.703
"涌井　秀章",2012,"Top","L","55","1","5",63,271,14.8,8.12,6.6,0.14,2.648,3.71,0.686
"阿部　和成",2012,"Top","M","6","0","2",27.3,111,5.4,4.5,0.9,0.99,4.153,3.95,0.742
"伊藤　義弘",2012,"Top","M","6","0","1",6,24,12.5,4.17,8.3,0,2.116,3,0.6
"上野　大樹",2012,"Top","M","5","0","1",26,104,10.6,5.77,4.8,0.69,3.693,2.77,0.741
"内　竜也",2012,"Top","M","27","1","1",25,102,22.5,3.92,18.6,0.72,2.296,1.8,0.7
"大谷　智久",2012,"Top","M","42","4","6",81.7,345,12.8,5.51,7.2,0.11,2.396,3.2,0.704
"荻野　忠寛",2012,"Top","M","5","0","0",5.7,23,13,4.35,8.7,3.18,6.675,3.18,0.824
"小野　晋吾",2012,"Top","M","15","2","5",81,336,12.5,5.06,7.4,0.67,3.357,3.44,0.749
"カルロス・ロサ",2012,"Top","M","16","0","1",15,77,16.9,7.79,9.1,1.2,4.016,6,0.607
"香月　良仁",2012,"Top","M","2","1","1",8.3,40,12.5,15,-2.5,0,3.576,5.4,0.655
"唐川　侑己",2012,"Top","M","12","8","2",84.7,341,9.4,4.4,5,0.43,3.041,2.66,0.734
"木村　雄太",2012,"Top","M","4","0","0",6.7,31,22.6,9.68,12.9,1.35,4.266,4.05,0.7
"グライシンガー",2012,"Top","M","25","12","8",168.7,666,16.8,3.6,13.2,0.27,2.189,2.24,0.735
"中後　悠平",2012,"Top","M","27","2","0",20.3,96,15.6,13.54,2.1,0.44,4.288,4.87,0.701
